Proses Key Risk Indicator (KRI) terdiri dari beberapa tahap, yaitu: | Deteksi penurunan keefektifan mitigasi risiko operasional | Deteksi peningkatan risiko operasional dan Tindak lanjut peningkatan risiko operasional | Deteksi peningkatan risiko dan Tindak lanjut peningkatan risiko | Deteksi peningkatan risiko operasional dan Pelaporan ke DAI | B
Berikut ini adalah bentuk – bentuk testing BCP, kecuali... | BC Call Testing | Table Top Simulation | Evacuation Testing | Penetration Testing | D
Staff yang berpindah ke SWP adalah… | Staf yang telah bekerja > 1 tahun | Seluruh staf operasional | Staf yang ditunjuk | Seluruh karyawan | C
Penyebab utama dari Sindrom Carpal Tunnel adalah ... | Kebisingan yang berlebihan | Radiasi dari layar komputer | Gerakan repetitif pada pergelangan tangan saat mengetik atau menggunakan mouse | Kurangnya pencahayaan di tempat kerja | C
Kepanjangan dari CBF | Critical Business Finance | Critical Business Federation | Critical Business Function | Critical Business Force | C
Berikut ini bukan tindakan yang harus dilakukan saat proses evakuasi ... | Memasukkan dokumen ke dalam grab bag | Berkumpul di titik yang ditentukan | Mengikuti petugas evakuasi | Turun menggunakan lift | A
Yang termasuk dalam kategori bahaya fisik di lingkungan perkantoran adalah... | Bakteri dan virus | Posisi kerja yang tidak ergonomis | Tumpahan bahan kimia | Kebisingan dari peralatan kantor | D
Tempat yang digunakan sebagai tempat kerja alternatif UKKP yang men-support Tim Krisis disebut … | Command Center | Secondary Operation Center | Secondary Work Place | Crisis Center | C
Sarana yang digunakan untuk menyampaikan berita secara berantai dari Tim Krisis ke seluruh staf disebut dengan … | Corporate BC Call | WA Call | Resilience Testing Call | Crisis Communication Call | A
Tindakan yang tepat jika melihat kabel listrik terkelupas di area kerja adalah... | Memperbaikinya sendiri dengan isolasi seadanya | Melaporkannya kepada petugas terkait | Mengabaikannya karena listrik masih berfungsi | Menyingkirkan kabel tersebut dengan benda logam | B
Perusahaan XYZ tidak memasang antivirus di komputer karyawannya. Akibatnya, beberapa komputer karyawan terinfeksi oleh malware yang mencuri data internal perusahaan. Sumber risiko dari kasus ini adalah ... | SDM | Proses | Sistem | Faktor Eksternal | C
Berikut merupakan prinsip dalam mitigasi risiko keamanan siber, kecuali … | Identifikasi risiko | Pengukuran risiko | Pengembangan produk risiko | Pemantauan Risiko | C
Budi adalah karyawan dari perusahaan B. Budi menggunakan Wi-Fi publik untuk mengakses sistem internal perusahaan. Risiko keamanan siber dari tindakan tersebut adalah ... | Budi mengerjakan pekerjaan dengan lancar | Data dapat disadap oleh pihak tidak berwenang | Kuota Budi cepat habis | Tidak terdapat risiko siber | B
Andi menuliskan password akun kantornya pada sticky note yang ditempel di monitor agar mudah diingat. Apa yang dapat terjadi dari tindakan Andi? | Akun Andi dapat disalahgunakan oleh orang lain | Mencatat password membantu Andi mengingat | Meningkatkan efisiensi kerja Andi | Tidak terjadi apa-apa | A
Penerapan manajemen risiko terkait keamanan siber mencakup 4 aspek, kecuali … | Tata kelola risiko keamanan siber | Kerangka manajemen risiko keamanan siber | Proses manajemen risiko, kecukupan SDM, serta kecukupan informasi manajemen risiko keamanan siber | Social Engineering Exercise | A
UU Pelindungan Data Pribadi di Indonesia disahkan pada tahun: | 2018 | 2020 | 2022 | 2025 | C
Undang-undang yang mengatur pelindungan data pribadi di Indonesia adalah | UU ITE | UU Ketenagakerjaan | UU No. 27 Tahun 2022 | UU No. 11 Tahun 2008 | C
Jika menemukan data pribadi yang tidak seharusnya di sistem, sebaiknya harus: | Mengabaikan | Membagikan ke rekan kerja | Menerapkan prinsip minimisasi data | Menyimpan untuk referensi | C
UU PDP merupakan bagian dari pelindungan terhadap | Data perusahaan | Hak asasi manusia | Keuangan negara | Infrastruktur digital | B
Dalam UU PDP, pemrosesan data pribadi harus dilakukan berdasarkan prinsip | Efisiensi dan keuntungan | Legalitas, transparansi, dan akuntabilitas | Kecepatan dan fleksibilitas | Privatisasi dan outsourcing | B
